id,product_id,flavor_name,flavor_description,flavor_category,iced_bool,cbd_bool,date_inserted,date_updated,predicted_category,confidence,raw_llm_response,categories,confidence,rationale
13855,9704,Blue Razz Ice - SOLD OUT,,,,,22:55.3,22:55.3,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'blue razz', which is a fruit flavor; 'ice' may refer to cooling."
11560,9597,Capricorn Dragon Melon - (Not Avail in FL) - SOLD OUT,,,,,31:04.6,31:04.6,Other Flavors,high,Other Flavors,['Fruit'],high,"The word 'melon' is a type of fruit, leading to this classification."
5841,3025,Rainbow Fruit Burst,,,,,53:24.7,53:24.7,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains 'fruit', which directly indicates the flavor category."
12501,9641,Aloe Grapple Watermelon,,,,,41:27.8,41:27.8,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,"Contains 'grapple', which is a type of fruit; 'watermelon' and 'aloe' are also fruits or related to non-alcoholic drinks."
9747,9465,Blue Razz Ice - RIA by Geek Bar Pulse - SOLD OUT,,,,,06:02.7,06:02.7,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'blue razz', which is a fruit flavor; 'ice' may refer to cooling."
7760,5166,Peach,,,,,21:57.1,21:57.1,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'Peach' directly refers to a type of fruit.
5604,2689,Strawberry Fluff,,,,,45:49.9,45:49.9,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"Contains 'strawberry', which is a fruit; 'fluff' may refer to a sweet or dessert-like flavor."
5467,2579,Apple,,,,,29:06.2,29:06.2,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'Apple' directly refers to a fruit.
11432,9589,Strawberry Banana - SOLD OUT,,,,,50:36.2,50:36.2,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains 'strawberry', which is a fruit; 'banana' is also a fruit."
11857,9609,Peach Gummy - RIA by Geek Bar Pulse - SOLD OUT,,,,,15:14.0,15:14.0,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"Contains 'peach', which is a fruit; 'Gummy' references a type of candy."
13023,9662,Watermelon Ice - SOLD OUT,,,,,26:44.3,26:44.3,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'watermelon', which is a fruit; 'ice' may refer to cooling."
7833,5524,Tropical,,,,,29:35.3,29:35.3,Other Flavors,high,Other Flavors,['Fruit'],low,"The word 'tropical' suggests a fruit-based flavor, but it's too vague to be certain."
10378,9535,Strawberry Savers - SOLD OUT,,,,,41:14.9,41:14.9,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains 'strawberry', which is a fruit."
8692,8854,OMG B-POP,,,,,20:50.7,20:50.7,Other Flavors,high,Other Flavors,['Other'],low,The flavor name does not provide any clear associations with the given subcategories.
10469,9539,Virgo Crazy Melon - SOLD OUT,,,,,45:39.1,45:39.1,Other Flavors,high,Other Flavors,['Fruit'],high,"The word 'Melon' is a type of fruit, leading to this classification."
4891,1793,Kiwi,,,,,39:54.1,39:54.1,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'kiwi' directly refers to a type of fruit.
8179,6339,Gold Kiwi Ice,,,,,55:55.5,55:55.5,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'kiwi', which is a fruit; 'ice' may refer to cooling."
7817,5455,Chocolate,,,,,51:04.8,51:04.8,Other Flavors,high,Other Flavors,['Chocolate'],high,The flavor name directly mentions 'chocolate'.
8152,6171,Mixed berries,,,,,24:59.5,24:59.5,Other Flavors,high,Other Flavors,['Fruit'],high,"The word 'berries' implies multiple fruits, likely including blueberry, raspberry, and blackberry."
11913,9613,Fcuking FAB (Not Avail in FL) - SOLD OUT,,,,,18:25.2,18:25.2,Other Flavors,high,Other Flavors,['Other'],high,"The flavor name contains profanity and a reference to a state, making it unclear or unidentifiable."
7956,5637,Strawberry Cream,,,,,32:01.4,32:01.4,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"Contains 'strawberry', which is a fruit; 'cream' suggests a sweet, dessert-like flavor."
11117,9576,Vanilla Custard - Fifty Bar 20000 - SOLD OUT,,,,,19:35.6,19:35.6,Other Flavors,high,Other Flavors,"['Sweets', 'Spice']",high,"Contains 'vanilla', which is a spice; 'custard' is a dessert type."
7475,4850,Strawberry,,,,,28:43.9,28:43.9,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'strawberry' is a type of fruit.
10767,9561,White Gummy Ice - (Not Avail in FL),,,,,22:56.3,22:56.3,Other Flavors,medium,**Other Flavors**,"['Sweets', 'Cooling']",high,"The name 'Gummy' is associated with sweets, and the presence of 'Ice' suggests a cooling agent."
12282,9629,Frozen Blackberry Fab - SOLD OUT,,,,,44:21.2,44:21.2,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'blackberry', which is a fruit; 'frozen' may refer to cooling."
6148,3310,Strawberry,,,,,19:19.2,19:19.2,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'strawberry' is a type of fruit.
6823,3768,Apple Ice,,,,,13:21.6,13:21.6,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'apple', which is a fruit; 'ice' may refer to cooling."
10481,9542,Gummy Whip - Fifty Bar 20000,,,,,53:02.8,53:02.8,Other Flavors,high,Other Flavors,['Sweets'],high,"The word 'Gummy' is associated with candies, and 'Whip' could refer to a dessert topping."
5160,2178,Blue Razz,,,,,32:25.7,32:25.7,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains 'blue', which may refer to blueberry, and 'Razz' is a common suffix for fruit flavors like raspberry."
5846,3026,Orange,,,,,53:28.0,53:28.0,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'orange' directly refers to a fruit.
12838,9654,Sour Watermelon Drop - SOLD OUT,,,,,07:11.0,07:11.0,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"Contains 'watermelon', which is a fruit; 'sour' and 'drop' suggest a sweet, candy-like flavor."
9216,9373,B-Pop (B-Burst) - SOLD OUT,,,,,36:08.5,36:08.5,Other Flavors,high,Other Flavors,['Fruit'],low,"The flavor name 'B-Pop' is unclear, but the word 'Pop' can sometimes refer to fruit flavors."
9348,9388,Strawberry Mango - SOLD OUT,,,,,41:21.7,41:21.7,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains 'strawberry', which is a fruit, and 'mango' is also a fruit."
6452,3510,Peach,,,,,26:21.1,26:21.1,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'Peach' directly refers to a type of fruit.
10337,9535,Blueberry Punch - RIA by Geek Bar Pulse - SOLD OUT,,,,,41:14.0,41:14.0,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,"Contains 'blueberry', which is a fruit; 'Punch' typically refers to a non-alcoholic drink."
6986,4154,Fruit Ice,,,,,58:06.6,58:06.6,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'fruit', which is a clear indication of the flavor category; 'ice' may refer to cooling."
8392,7723,LimonCello - Sativa | D9-0 THCJD THCP-O - Unavailable,,,,,52:56.8,52:56.8,Other Flavors,high,Other Flavors,"['Fruit', 'Alcoholic Drinks']",high,"Contains 'Limon', which is a citrus fruit; 'Cello' references a type of wine, specifically limoncello."
8500,8807,Frozen Watermelon - SOLD OUT,,,,,00:05.7,00:05.7,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'watermelon', which is a fruit; 'frozen' may refer to cooling."
6341,3435,Mixed Berries,,,,,28:27.9,28:27.9,Other Flavors,high,Other Flavors,['Fruit'],high,"The word 'berries' implies multiple fruits, likely including berries like blueberry, raspberry, or strawberry."
4450,1749,Tropical Punch,,,,,32:02.7,32:02.7,Other Flavors,high,Other Flavors,"['Fruit', 'Other']",low,"The word 'Punch' is often associated with fruit flavors, but it's not specific enough to pinpoint a clear category. It could be a brand-based or unidentifiable flavor type."
13421,9683,Crazy Berry - RIA by Geek Bar Pulse - SOLD OUT,,,,,45:51.4,45:51.4,Other Flavors,high,Other Flavors,['Fruit'],high,"The word 'Berry' is a common term for fruit flavors, and the brand name does not provide any additional context that would suggest otherwise."
4543,1754,Mango Sunset,,,,,33:12.1,33:12.1,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains 'mango', which is a fruit."
8334,7705,Pina colada,,,,,49:02.8,49:02.8,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,"Contains 'pina', which is associated with a tropical fruit, and 'colada' references a cocktail."
12943,9661,Cinn Funn! - Fifty Bar 20000,,,,,26:00.4,26:00.4,Other Flavors,high,Other Flavors,['Spice'],high,"The word 'cinn' is likely short for cinnamon, a spice."
9180,9362,Wildberry Savers - SOLD OUT,,,,,33:12.5,33:12.5,Other Flavors,high,Other Flavors,['Fruit'],low,"The word 'Wildberry' suggests a fruit flavor, but the presence of '-Savers' makes it unclear and reduces confidence."
6607,3602,Sour Apple,,,,,11:33.4,11:33.4,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'apple', which is a fruit; 'sour' may imply a cooling or tangy taste."
7354,4769,Cereal,,,,,45:05.0,45:05.0,Other Flavors,high,Other Flavors,['Sweets'],high,"The word 'cereal' typically refers to sweet breakfast foods, so it's likely a dessert or candy flavor."
11737,9605,Fcuking FAB (Not Avail in FL) - SOLD OUT,,,,,11:34.3,11:34.3,Other Flavors,high,Other Flavors,['Other'],high,"The flavor name appears to be a brand-specific or proprietary name, making it difficult to categorize based on the provided information."
10118,9496,Watermelon Ice - RIA by Geek Bar Pulse - SOLD OUT,,,,,16:42.6,16:42.6,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'watermelon', which is a fruit; 'ice' may refer to cooling."
7345,4752,Apple,,,,,50:29.2,50:29.2,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'Apple' directly refers to a fruit.
13424,9683,Dualicious - RIA by Geek Bar Pulse - SOLD OUT,,,,,45:51.5,45:51.5,Other Flavors,high,Other Flavors,['Other'],low,The flavor name is unclear and does not contain any recognizable words that can be associated with the given subcategories.
12488,9638,Strawberry Banana - SOLD OUT,,,,,28:47.6,28:47.6,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains 'strawberry', which is a fruit; 'banana' is also a fruit."
7135,4320,Watermelon Candy,,,,,17:08.0,17:08.0,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"Contains 'watermelon', which is a fruit; 'candy' implies a sweet flavor."
5227,2251,Gold Kiwi,,,,,43:04.0,43:04.0,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains 'kiwi', which is a fruit."
10356,9535,Meta Moon - SOLD OUT,,,,,41:14.4,41:14.4,Other Flavors,high,Other Flavors,['Other'],high,"The flavor name contains the word 'Meta', which is likely a brand-specific term, and the description is empty. This suggests that the classification may not be possible based on the provided information."
10080,9496,Frozen Blackberry Fab - SOLD OUT,,,,,16:41.3,16:41.3,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'blackberry', which is a fruit; 'frozen' may refer to cooling."
6484,3530,Rainbow,,,,,32:56.9,32:56.9,Other Flavors,high,Other Flavors,['Sweets'],low,"The word 'Rainbow' may refer to colorful candies or desserts, but it's unclear and ambiguous."
4707,1762,Strawberry Shortcake,,,,,35:29.4,35:29.4,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"Contains 'strawberry', which is a fruit; 'shortcake' is a dessert."
14099,9715,Blueberry Super Strudel - SOLD OUT,,,,,33:01.1,33:01.1,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"Contains 'blueberry', which is a fruit; 'strudel' suggests a sweet pastry."
8291,7691,Girl Scout Cookies - 2000mg - Unavailable,,,,,45:12.1,45:12.1,Other Flavors,high,Other Flavors,['Sweets'],high,The name 'Girl Scout Cookies' is a clear reference to a type of sweet treat.
9439,9399,Tropical Rainbow Blast - SOLD OUT,,,,,44:20.5,44:20.5,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",medium,"The word 'Tropical' suggests fruit flavors, and 'Rainbow Blast' implies a sweet or dessert-like flavor."
6107,3284,Grapefruit,,,,,07:56.3,07:56.3,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'grapefruit' is a type of fruit.
7076,4280,Blue Razzleberry Pomegranate,,,,,12:33.0,12:33.0,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains multiple fruit names ('blue razzleberry', 'pomegranate') which are all types of fruits."
5800,3008,OG Reds Iced,,,,,50:27.9,50:27.9,Other Flavors,medium,**Other Flavors**,"['Fruit', 'Cooling']",high,"The word 'Reds' could be associated with fruit flavors, and 'Iced' suggests a cooling effect."
11680,9601,Orange Mint Savers - SOLD OUT,,,,,34:00.6,34:00.6,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'orange', which is a fruit; 'mint' often refers to cooling agents."
7793,5357,Grape,,,,,55:55.1,55:55.1,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'Grape' directly refers to a type of fruit.
11938,9613,Juicy Peach Ice - SOLD OUT,,,,,18:25.8,18:25.8,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'Peach', which is a fruit; 'Ice' may refer to cooling."
11120,9577,Capricorn Dragon Melon - (Not Avail in FL) - SOLD OUT,,,,,20:17.1,20:17.1,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'melon' is a type of fruit.
11183,9580,Cinn Funn! - Fifty Bar 20000,,,,,22:28.1,22:28.1,Other Flavors,high,Other Flavors,['Spice'],high,"The word 'cinn' is likely short for cinnamon, a spice."
7934,5635,Glazed Donut,,,,,31:39.1,31:39.1,Other Flavors,high,Other Flavors,['Sweets'],high,"Contains 'glazed donut', which is a type of dessert."
7923,5633,Sour Fcuking Fab,,,,,31:17.6,31:17.6,Other Flavors,high,Other Flavors,"['Fruit', 'Other']",low,"The name contains 'sour', which could imply a fruit flavor, but the rest of the name is unclear and may be brand-specific."
8125,5842,Cherry,,,,,20:52.9,20:52.9,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'cherry' is a type of fruit.
5179,2215,Peach,,,,,38:18.0,38:18.0,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'Peach' directly refers to a type of fruit.
8159,6224,Cotton candy,,,,,34:21.5,34:21.5,Other Flavors,high,Other Flavors,['Sweets'],high,The word 'cotton candy' is directly associated with a sweet treat.
6022,3230,Gummy,,,,,40:13.6,40:13.6,Other Flavors,high,Other Flavors,['Sweets'],high,The word 'gummy' directly refers to a type of candy.
12038,9617,Pink Raz Lemonade - RIA by Geek Bar Pulse - SOLD OUT,,,,,21:20.3,21:20.3,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,Contains 'Raz' which is a fruit flavor; 'Lemonade' is a non-alcoholic drink.
10421,9539,B-Pop (B-Burst) - SOLD OUT,,,,,45:37.8,45:37.8,Other Flavors,high,Other Flavors,['Fruit'],low,"The flavor name 'B-Pop' is unclear, but it may contain fruit associations. However, the lack of descriptive information makes this classification uncertain."
6008,3218,Grape,,,,,34:24.7,34:24.7,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'Grape' directly refers to a type of fruit.
4721,1763,Cherry Strapple,,,,,35:43.9,35:43.9,Other Flavors,high,Other Flavors,"['Fruit', 'Other']",low,"The word 'Strapple' is unclear and doesn't match any known flavor or drink type, but 'cherry' is a fruit."
11878,9609,Watermelon B-Pop - RIA by Geek Bar Pulse - SOLD OUT,,,,,15:14.6,15:14.6,Other Flavors,high,Other Flavors,"['Fruit', 'Other']",low,"The flavor name contains 'watermelon', which is a fruit, but the brand and model names ('B-Pop - RIA by Geek Bar Pulse') are unclear and may not provide any additional information about the flavor type."
6016,3224,Fruit Punch,,,,,37:32.3,37:32.3,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,"Contains 'fruit punch', which is typically a non-alcoholic drink; also contains 'fruit' which is a broad category of flavors."
12918,9658,Pink Raz Lemonade - RIA by Geek Bar Pulse - SOLD OUT,,,,,10:04.7,10:04.7,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,"Contains 'Raz' and 'Lemonade', which are associated with fruit and non-alcoholic drinks, respectively."
11185,9580,Gummy Whip - Fifty Bar 20000,,,,,22:28.2,22:28.2,Other Flavors,high,Other Flavors,['Sweets'],high,"The word 'Gummy' is associated with candies, and 'Whip' could refer to a dessert topping."
6988,4154,Lemon Cake,,,,,58:06.6,58:06.6,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"Contains 'lemon', which is a fruit; 'cake' is a dessert."
7708,5010,Mango,,,,,59:09.0,59:09.0,Other Flavors,high,Other Flavors,['Fruit'],high,"The flavor name contains 'mango', which is a fruit."
9918,9486,Pineapple Express - Out Of Stock,,,,,12:54.7,12:54.7,Other Flavors,high,Other Flavors,"['Fruit', 'Other']",low,"The flavor name contains 'pineapple', which is a fruit, but the presence of '-Express' and 'Out Of Stock' makes it unclear what the actual flavor profile is."
11570,9597,California Cherry - SOLD OUT,,,,,31:05.1,31:05.1,Other Flavors,high,Other Flavors,['Fruit'],high,"The word 'Cherry' is a type of fruit, which led to this classification."
12074,9620,Blue Razzle Ice - SOLD OUT,,,,,30:09.8,30:09.8,Other Flavors,medium,**Other Flavors**,"['Fruit', 'Cooling']",high,"Contains 'blue razzle', which is a fruity flavor; 'ice' may refer to cooling."
5126,2143,Grape,,,,,27:25.8,27:25.8,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'Grape' directly refers to a type of fruit.
4291,1742,Lime Berry Orange,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains multiple fruit names ('lime', 'berry', 'orange'), indicating a fruity flavor."
11013,9572,OMG! Smoothie - Fifty Bar 20000,,,,,59:02.9,59:02.9,Other Flavors,high,Other Flavors,"['Sweets', 'Non-alcoholic Drinks']",high,"The word 'Smoothie' is associated with a blended drink, and the presence of 'Fifty Bar 20000' suggests it's a brand name for a specific flavor type."
10565,9546,Aloe Grapple Watermelon,,,,,55:56.3,55:56.3,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,"Contains 'grapple', which is a type of fruit; 'watermelon' and 'aloe' are also fruits."
4300,1742,Sour Straws,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors,"['Fruit', 'Other']",high,"The word 'Straws' is often associated with sour candies, and the name suggests a fruit flavor."
9542,9430,Kiberry Chew - Fifty Bar 20000,,,,,54:47.4,54:47.4,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"The name 'Kiberry' suggests a fruit flavor, and 'Chew' implies a sweet or dessert-like quality."
9413,9399,Juicy Peach Ice - SOLD OUT,,,,,44:19.9,44:19.9,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'peach', which is a fruit; 'ice' may refer to cooling."
