tag,title,brand,link,price,summary,image_url,image_urls,description,warning_description,package_contents_description,ingredients_description,key_features_description,flavors_description,specifications_description,performance_description,disposable_description,why_description,innovation_description,preference_description,enjoyment_description,compatibility_description,coil_description,battery_description,puffs_description,nicotine_description,e_liquid_description,prefilled_description,devices_description,airflow_description,heating_element_description,operation_description,charging_description,screen_description,links_description,colors_description,returns_description,options_description,size_description,pods_description,hardware_description,wattage_description,faqs_description,disposable,rechargeable,battery,mesh,usb,adjustable
blow-xxl-1800,Blow XXL Disposable 1800 Puffs,BLOW Stix Vape,https://perfectvape.com/blow-xxl-1800/,$6.92,"Salt Nicotine: 5%Resistance: 1.80Battery: 1100mAhLiquid: 5.8MLPuffs: ~1800
Ingredients: Vegetable Glycerin, Propylene Glysol, Natural & Artificial Flavorings, Benzoic Acid, Nicotine",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2147/6770/blow-blow-xxl-1800__31180.1713327799.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2147/6770/blow-blow-xxl-1800__31180.1713327799.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2147/7616/blow-blow-xxl-1800__68663.1713327799.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2147/6095/blow-blow-xxl-1800__70931.1713327799.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2147/7303/blow-blow-xxl-1800__32279.1713327799.jpg?c=2']","Salt Nicotine: 5%
Resistance: 1.80
Battery:
1100mAh
Liquid: 5.8ML
Puffs: ~1800
Ingredients: Vegetable Glycerin, Propylene Glysol, Natural & Artificial Flavorings, Benzoic Acid, Nicotine
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
hitt-switch-2000,HITT Switch 2000 Disposable Vape,HITT Vapes and E-Liquids,https://perfectvape.com/hitt-switch-2000/,$7.86,"Approximately 2000 Puffs
2 Switchable Flavors
Adjustable Airflow
10 Flavors",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2124/7877/hitt-switch-2000__78354.1713327780.jpg?c=2,[],"Approximately 2000 Puffs
2 Switchable Flavors
Adjustable Airflow
10 Flavors
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
suorin-air-bar-lux-galaxy-edition,Suorin Air Bar LUX GALAXY EDITION Disposable 1000 Puffs,"Suorin Disposable Vapes, Pods and More",https://perfectvape.com/suorin-air-bar-lux-galaxy-edition/,$6.80,"AIR BAR LUX | GALAXY EDITION
Puffs: Approximately 1000
E-Liquid: 2.7ml
Battery: 500mAh
Nicotine: 5% | 50mg
Soft Nossel
Draw activated",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2095/7379/suorin-air-bar-lux-galaxy-edition__54560.1713327708.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2095/7379/suorin-air-bar-lux-galaxy-edition__54560.1713327708.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2095/7902/suorin-air-bar-lux-galaxy-edition__15130.1713327708.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2095/7002/suorin-air-bar-lux-galaxy-edition__78947.1713327708.jpg?c=2']","AIR BAR LUX | GALAXY EDITION

Puffs: Approximately 1000
E-Liquid: 2.7ml
Battery: 500mAh
Nicotine: 5% | 50mg
Soft Nossel
Draw activated
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
vaptio-beco-bar-xl-550,Vaptio Beco Bar XL Disposable 550 Puffs,Vaptio Disposable Vapes,https://perfectvape.com/vaptio-beco-bar-xl-550/,$7.90,VAPTIO BECO BAR XL DISPOSABLE Approximately 550 puffs 400mAh battery 2ml capacity 5% | 50mg salt nic,https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2059/7405/vaptio-beco-bar-xl-550__17049.1713327636.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2059/7405/vaptio-beco-bar-xl-550__17049.1713327636.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2059/7642/vaptio-beco-bar-xl-550__84515.1713327636.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2059/7735/vaptio-beco-bar-xl-550__54355.1713327636.jpg?c=2']","VAPTIO BECO BAR XL DISPOSABLE

Approximately 550 puffs
400mAh battery
2ml capacity
5% | 50mg salt nic
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,
suorin-air-bar-diamond-500,Suorin Air Bar Diamond Disposable 500 Puffs,"Suorin Disposable Vapes, Pods and More",https://perfectvape.com/suorin-air-bar-diamond-500/,$5.39,"SUORIN AIR BAR DIAMOND DISPOSABLE
500 Puffs (Approximate)
5% | 50mg
1.8ml Capacity
380mAh",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2018/7445/suorin-air-bar-diamond-500__82579.1713327609.jpg?c=2,[],"SUORIN AIR BAR DIAMOND DISPOSABLE
500 Puffs (Approximate)
5% | 50mg
1.8ml Capacity
380mAh
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ijoy-lio-bee-18-1500,IJOY LIO Bee 18 Disposable 1500 Puffs,IJOY Disposables Vapes,https://perfectvape.com/ijoy-lio-bee-18-1500/,$7.75,Say hello to the LIO Bee 18 Disposable Kit 1000mAh! The LIO Bee 18 Disposable Kit is a new redefined Disposable Pod Kit which adopts a patent pull & play design for best flavor. And the LIO Bee 18 Disposable Kit is powered by...,https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2015/7298/ijoy-lio-bee-18-1500__66368.1713327604.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2015/7298/ijoy-lio-bee-18-1500__66368.1713327604.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2015/6684/ijoy-lio-bee-18-1500__30771.1713327604.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2015/7054/ijoy-lio-bee-18-1500__67431.1713327604.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2015/6634/ijoy-lio-bee-18-1500__85268.1713327604.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2015/6995/ijoy-lio-bee-18-1500__37296.1713327604.jpg?c=2']","Say hello to the
LIO Bee 18 Disposable Kit
1000mAh
!
The LIO Bee 18 Disposable Kit is a new redefined Disposable Pod Kit which adopts a patent pull & play design for best flavor. And the LIO Bee 18 Disposable Kit is powered by inbuilt 1000mA battery. In addition, the LIO Bee 18 Disposable Kit comes with 5ml pre-refilled juice with 18 amazing flavors available to choose from. Moreover, the LIO Bee 18 pod is transparent to easy to check the e-liquid levels. Please take the LIO Bee 18 Disposable Kit and enjoy the fantastic flavor.
1500 PUFFS

Parameters
Size: Ø18mm×104mm
Battery Capacity: 1000mAh (16400)
Output Mode: 3.5V/12.5W
Material: Stainless Steel, PCTG
Resistance: 1.0ohm
E-liquid Capacity: 5.0ml
Nicotine: 5% | 50mg
Product Type: Disposable
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,
bolt-plus-1200,Bolt PLUS 1200 Disposable Vapes,Bolt Disposable Vapes,https://perfectvape.com/bolt-plus-1200/,$6.80,"Single Unit
5.0% / 50MG Nicotine
4ml E-Liquid Capacity 
750mAh Battery 
Approximately 1200 Puffs Per Device",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/1984/7714/bolt-plus-1200__17100.1713327585.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1984/7714/bolt-plus-1200__17100.1713327585.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1984/7832/bolt-plus-1200__54481.1713327585.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1984/7863/bolt-plus-1200__46882.1713327585.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1984/7551/bolt-plus-1200__81111.1713327585.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1984/7015/bolt-plus-1200__66843.1713327585.jpg?c=2']","Single Unit
5.0% / 50MG Nicotine
4ml E-Liquid Capacity
750mAh Battery
Approximately 1200 Puffs Per Device
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
hitt-plus-700,HITT Plus 700 Disposable Vape - 380mAh,HITT Vapes and E-Liquids,https://perfectvape.com/hitt-plus-700/,$5.85,"5% | 50mg
700 Puffs",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/1937/7758/hitt-plus-700__04171.1713327551.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1937/7758/hitt-plus-700__04171.1713327551.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1937/6502/hitt-plus-700__87553.1713327551.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1937/6601/hitt-plus-700__59507.1713327551.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1937/7239/hitt-plus-700__99167.1713327551.jpg?c=2']","5% | 50mg
700 Puffs
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oro-vape-bar-300,ORO Vape Bar Disposable 300 Puffs,ORO Vape Bar Disposable Vapes,https://perfectvape.com/oro-vape-bar-300/,$6.34,"ORO VAPE BAR DISPOSABLE 5% | 50mg 1mL 300 Puffs Single Disposable  For a case, select 10 in quantity",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/1897/7160/oro-vape-bar-300__19541.1713327522.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1897/7160/oro-vape-bar-300__19541.1713327522.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1897/7113/oro-vape-bar-300__88902.1713327522.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1897/6354/oro-vape-bar-300__02988.1713327522.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1897/6344/oro-vape-bar-300__68487.1713327522.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1897/7074/oro-vape-bar-300__27333.1713327522.jpg?c=2']","ORO VAPE BAR DISPOSABLE
5% | 50mg
1mL
300 Puffs
Single Disposable
For a case, select 10 in quantity
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
mio-stix,MiO Stix Vape Disposable,,https://perfectvape.com/mio-stix/,$5.99,The sleek and stylish MiO Stix are disposable vape devices that come in 15 exciting flavors to choose from. Experience premium Salt Nic with Icy Fresh and fruity flavors that will quench your thirst for Nicotine and leave you wanting for more. No hassle...,https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/1893/7526/mio-stix__90501.1713327515.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/7526/mio-stix__90501.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/6209/mio-stix__09520.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/6471/mio-stix__13736.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/7922/mio-stix__49662.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/6369/mio-stix__62752.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/7182/mio-stix__55591.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/7194/mio-stix__06371.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/7597/mio-stix__68687.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/7781/mio-stix__36049.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/6406/mio-stix__28717.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/7283/mio-stix__64474.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/7736/mio-stix__96644.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/7052/mio-stix__07740.1713327515.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/1893/7224/mio-stix__87460.1713327515.jpg?c=2']","The sleek and stylish MiO Stix are disposable vape devices that come in 15 exciting flavors to choose from. Experience premium Salt Nic with Icy Fresh and fruity flavors that will quench your thirst for Nicotine and leave you wanting for more. No hassle of filling e-juices or recharging your device again and again, just vape on!
Effortless Vaping – Get a rush of fresh Icy and fruity flavours instantly with on-draw activation. That means, no complicated mechanisms, buttons or draw mechanism, just effortless vaping experience.
Zero Maintenance
– The MiO Stix disposable e-cigs come with a built-in battery that is fully charged and filled with 1.2 ml of 50mg Salt Nic – enough to substitute 20 cigarettes. No refilling, no maintenance, just use and dispose of.
Perfect for On-the-Move Vaping
– The sleek and almost weightless device is easy to carry and discreet to use, making it the perfect disposable vape for your active lifestyle.
MiO Stix disposable e-cigarettes are 100% authentic, brand new and safe to vape.
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,
