tag,vendor,main_brand,product,product_id,money,disposable,rechargeable,battery,mesh coil,USB,Adjustable Airflow,flavor1,flavor2,flavor3,flavor4,flavor5,% nicotine,puffs,ml,url,description,image_url,image_url_zoom
smok-novo-bar-al6000-fresh-mint,SMOK Novo Bar AL6000,SMOK,Fresh Mint,6837192032342,$11.99,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,mint,spearmint,,,,5%,6000,13,https://getpop.co/products/smok-novo-bar-al6000-fresh-mint,"Up to 6,000 puffs (14ml) Adjustable Airflow Mesh Coil Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your SMOK Novo Bar AL6000 rechargeable device. Novo Bar AL6000 Fresh Mint is a cool mint flavor with spearmint. Chilled with ice and slightly sweet, this is an absolute must try if you love spearmint or sweet mint. Novo Bar AL6000 is a rechargeable device by SMOK, one of the most respected brands as manufacturer of devices, coils, and pods. Now the quality behind the SMOK brand applies to disposable devices. Every Novo Bar AL6000 features a mesh coil, adjustable airflow, and rechargeable battery via USB Type-C charging cable. There are also indicators for both battery life and e-liquid level so that you're can always be prepared to recharge or replace your Novo Bar AL6000. What's included: 1 SMOK Novo Bar AL6000 rechargeable device with mesh coil and adjustable airflow USB Type-C Cable is not included 5% salt nicotine Volume: 13ml (up to 6,000 puffs) Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) About Novo Bar AL6000 by SMOK The Novo Bar AL6000 is a rechargeable device by SMOK featuring a Mesh Coil and Adjustable Airflow. Every Novo Bar AL6000 features 13ml of e-liquid, good for up to 6,000 puffs, and is rechargeable via USB Type-C Charging Cable. SMOK has been a long-standing brand in devices, coils, and pod systems, so it's no surprise that the quality of the Novo AL6000 shines. Tap or click here to learn more about Novo Bar AL6000 rechargeable device at the official SMOK website at https://www.smoktech.com .",http://getpop.co/cdn/shop/products/smok-novo-bar-al6000-fresh-mint-device_1024x1024.jpg?v=1674500846,http://getpop.co/cdn/shop/products/smok-novo-bar-al6000-fresh-mint-device_2048x2048.jpg?v=1674500846
caliburn-a2-pods-0-9-ohm-4-pack,UWELL,UWELL,Caliburn A2 Pods (0.9-ohm),6781495378006,$14.99,,,,,,,,,,,,,,2,https://getpop.co/products/caliburn-a2-pods-0-9-ohm-4-pack,"Click or tap here to shop UWELL Caliburn A2 and AK2 devices Get this 4-pack of refillable pods for the UWELL Caliburn A2 and AK2 pod devices. Each pod is good for up to 3 fills. What's included: 4 - UWELL Caliburn A2 Pods, 2ml (0.9-ohm) Technical specifications: 2.0ml capacity 0.9 ohm resistance Made in China",http://getpop.co/cdn/shop/products/uwell-caliburn-a2-pods_1024x1024.jpg?v=1662666917,http://getpop.co/cdn/shop/products/uwell-caliburn-a2-pods_2048x2048.jpg?v=1662666917
elf-bar-bc5000-clear,Elf Bar BC5000,Elf Bar BC5000,Clear,6806018424918,$5.99,TRUE,TRUE,,TRUE,TRUE,,,,,,,5%,5000,13,https://getpop.co/products/elf-bar-bc5000-clear,"Up to 5,000 puffs (13ml) Mesh Coil Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your Elf Bar BC5000 rechargeable device. Flavor description coming soon! Elf Bar BC5000 is a rechargeable device that delivers incredible flavor. If you haven't tried an Elf Bar, we highly recommend you give it a try. What's included: 1 Elf Bar BC5000 rechargeable disposable device USB Type-C Cable is not included 5% salt nicotine Volume: 13ml (up to 5,000 puffs) Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) About Elf Bar BC5000 We could not find much information about Elf Bar. What we do know is that the Elf Bar BC5000 delivers incredible flavor in a compact and sleek device. Tap here to check out the ElfBar website at https://www.elfbar.com/ .",http://getpop.co/cdn/shop/products/elf-bar-bc5000-clear-device_1024x1024.jpg?v=1670358668,http://getpop.co/cdn/shop/products/elf-bar-bc5000-clear-device_2048x2048.jpg?v=1670358668
modus-x-kado-bar-kb10000-cool-mint-1,Modus x Kado Bar KB10000,,Cool Mint,6978200567894,$14.99,,TRUE,TRUE,TRUE,TRUE,,mint,,,,,5%,,18,https://getpop.co/products/modus-x-kado-bar-kb10000-cool-mint-1,"Up to 10,000 puffs (18ml) Smart LED Display Mesh Coil Rechargeable via USB Type-C cable (included) USB Type-C Charging Cable is included Flavor description coming soon! This flavor is part of the collab with Modus, an American brand known for their alternative products, applying flavors by Modus with the quality of the Kado Bar KB10000 device. Every Modus x Kado Bar BR10000 features a mesh coil, rechargeable battery, and LCD display with battery and e-liquid indicators. What's included: 1 Modus x Kado Bar KB10000 rechargeable device USB Type-C Cable is included 5% salt nicotine Volume: 18ml (up to 10,000 puffs) Battery Capacity: 650mAh Mesh Coil Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) Tap here to learn more about Kado Bar KB10000 by visiting the official Kado Bar website at https://kadobar.com/kb1000 . Tap here to learn more about Modus by visiting the official Modus website at https://modusbrand.com .",http://getpop.co/cdn/shop/files/modus-x-kado-bar-kb10000-cool-mint-device_1024x1024.jpg?v=1711738131,http://getpop.co/cdn/shop/files/modus-x-kado-bar-kb10000-cool-mint-device_2048x2048.jpg?v=1711738131
air-bar-atron-5000-black-dragon-ice,Air Bar ATRON 5000,,Black Dragon Ice,6871775477846,$9.99,TRUE,TRUE,TRUE,TRUE,TRUE,,honey,,,,,5%,5000,10,https://getpop.co/products/air-bar-atron-5000-black-dragon-ice,"Up to 5,000 puffs (10ml) Mesh Coil Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your Air Bar ATRON 5000 rechargeable device. Flavor description coming soon! Every Air Bar ATRON 5000 features a mesh coil and rechargeable battery. It also has indicator lights for both battery and e-liquid, so that we're never caught off-guard. While the original Air Bar Diamond, Air Bar Box and Air Bar Lux continue to have dedicated fans, the Air Bar NEX and Air Bar ATRON signify Air Bar's commitment to make quality flavors delivered by quality devices. What's included: 1 Air Bar ATRON 5000 rechargeable device 5% salt nicotine Volume: 10ml (up to 5,000 puffs) Rechargeable Battery: 650mAh Ingredients: Vegetable Glycerin Propylene Glycol Nicotine Natural & Artificial Flavors About Air Bar ATRON 5000 Air Bar ATRON 5000 is nestled between the Air Bar Box and Air Bar NEX, in terms of capacity. The Air Bar NEX shines in terms of quality, so the Air Bar ATRON belongs in a similar category. Every ATRON features a BPC mesh coil, which is a proprietary coil developed by Air Bar. BPC stands for Boost, Pure, and Clean. This BPC coil has a unique and innovative honeycomb structure, designed to provide enhanced flavors and a smooth and reliable experience. Air Bar ATRON is made by Goldreams, based in China. Every Air Bar Box disposable is QR-code verifiable for authenticity. Tap here to check out the official Air Bar website at https://www.airbar.com/ .",http://getpop.co/cdn/shop/products/air-bar-atron-5000-black-dragon-ice-device_1024x1024.jpg?v=1696964492,http://getpop.co/cdn/shop/products/air-bar-atron-5000-black-dragon-ice-device_2048x2048.jpg?v=1696964492
pod-5500-frozen-strawberry-guava,Pod 5500,Pod 5500,Frozen Strawberry Guava,6783853658198,$12.99,TRUE,TRUE,,TRUE,TRUE,TRUE,guava,strawberry,,,,5.50%,5500,12,https://getpop.co/products/pod-5500-frozen-strawberry-guava,"Up to 5,500 puffs (12ml) Adjustable Airflow (via dial) Mesh Coil Rechargeable via Micro USB cable (not included) Click or tap here for Micro USB cable to recharge your Pod 5500 NOTE: to activate the Pod 5500, turn the adjustable airflow dial on the bottom of the device Flavor description coming soon! The Pod 5500 is the rechargeable version of the original Pod 2500, featuring the same amazing flavors by Pod Juice in a rechargeable device. Distributed by Pod Juice. What's included: 1 Pod 5500 v2 disposable device with Mesh Coil and adjustable airflow 5.50% salt nicotine Volume: 12ml (up to 5,500 puffs) Ingredients: USP Grade Propylene Glycol USP Grade Vegetable Glycerin USP Nicotine (5.50%) Natural & Artificial Flavors E-Liquid origin: China Device origin: China About Pod 5500 v2 by Pod Juice The Pod 5500 is a welcome upgrade from the original Pod 2500 disposable device. Brought to you by Pod Juice, every Pod Mesh 5500 rechargeable device features a mesh coil, adjustable airflow, and high grade e-liquid flavors. Tap here to check out the Pod Juice website at https://podjuice55.com/ .",http://getpop.co/cdn/shop/products/pod-5500-frozen-strawberry-guava-device_1024x1024.jpg?v=1658540229,http://getpop.co/cdn/shop/products/pod-5500-frozen-strawberry-guava-device_2048x2048.jpg?v=1658540229
hyppe-max-air-black-sakura,Hyppe Max Air 5000,Hyppe Max Air 5000,Black Sakura,6786576121942,$7.99,TRUE,TRUE,TRUE,TRUE,TRUE,,grape,,,,,5%,5000,13,https://getpop.co/products/hyppe-max-air-black-sakura,"Up to 5,000 puffs (13ml) Mesh Coil Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your Hyppe Max Air rechargeable device. Note: Hyppe Max Air has a very bright blue light when the device is activated. The light appears even brighter at night or in a dark room. Hyppe Max Air 5000 Black Sakura is a very unusual grape flavor. It is very floral, soft and sweet. As a result, we recommend trying just 1 until you know for sure that it’s a good for for you. Hyppe Max Air is the first device by Hyppe that features a rechargeable battery. As a result, this is the longest lasting device that provides the same terrific flavors by Hyppe. Every Hyppe Max Air also features a mesh coil for the best flavor experience. What's included: 1 Hyppe Max Air rechargeable disposable device USB Type-C Cable is not included 5% salt nicotine Volume: up to 5,000 puffs (13ml) Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) About Hyppe Max Air Hyppe Max Air is the first device by Hyppe that features a rechargeable battery. As a result, this is the longest lasting device that provides the same terrific flavors by Hyppe. Every Hyppe Max Air also features a mesh coil for the best flavor experience.",http://getpop.co/cdn/shop/products/hyppe-max-air-5000-black-sakura-device_510c3201-cd90-4887-8013-1ae6808a4f42_1024x1024.jpg?v=1664974644,http://getpop.co/cdn/shop/products/hyppe-max-air-5000-black-sakura-device_510c3201-cd90-4887-8013-1ae6808a4f42_2048x2048.jpg?v=1664974644
kado-bar-br5000-chilled-red-apple,Kado Bar BR5000,Kado Bar BR5000,Chilled Red Apple,6810702970966,$12.99,TRUE,TRUE,TRUE,TRUE,TRUE,,apple,,,,,5%,5000,14,https://getpop.co/products/kado-bar-br5000-chilled-red-apple,"Up to 5,000 puffs (14ml) Mesh Coil Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your Kado Bar BR5000 rechargeable device. Kado Bar BR5000 Chilled Red Apple is about as traditional as it gets. This is a straight-up chilled fuji red apple flavor. It’s cool, crisp, and sweet with red apple. Kado Bar BR5000 is the latest from Kado, featuring a mesh coil for equisite flavor and rechargeable battery. What's included: 1 Kado Bar BR5000 disposable device USB Type-C Cable is not included 5% salt nicotine Volume: 14ml (up to 5,000 puffs) Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume)",http://getpop.co/cdn/shop/products/kado-bar-br5000-chilled-red-apple-device_1024x1024.jpg?v=1674580000,http://getpop.co/cdn/shop/products/kado-bar-br5000-chilled-red-apple-device_2048x2048.jpg?v=1674580000
flum-pebble-6000-cuban-cigar,Flum Pebble 6000,Flum Pebble 6000,Cuban Cigar,6887052705878,$17.99,,TRUE,,TRUE,TRUE,,,,,,,5%,6000,14,https://getpop.co/products/flum-pebble-6000-cuban-cigar,"Up to 6,000 puffs (14ml) Mesh Coil Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your Flum Pebble rechargeable device. Flum Pebble Cuban Cigar is insanely good. This is a sweet and creamy tobacco flavor that’s just like a fresh cuban cigar. If you love tobacco cream, cubano, or any tobacco flavors, you really need to try Cuban Cigar by Flum. Flum Pebble 6000 is the first rechargeable device by Flum. Every Flum Pebble features a mesh coil so that you can enjoy even better flavors made famous by the original Flum Float and Flum GIO. What's included: 1 Flum Pebble 6000 rechargeable device USB Type-C Cable is not included 5% salt nicotine Volume: 14ml (up to 6,000 puffs) Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) Tap here to learn more about Flum at https://flumfloat.com/ .",http://getpop.co/cdn/shop/products/flum-pebble-6000-cuban-cigar-device_1024x1024.jpg?v=1700510097,http://getpop.co/cdn/shop/products/flum-pebble-6000-cuban-cigar-device_2048x2048.jpg?v=1700510097
hyde-edge-recharge-dragonfruit-lemonade,Hyde Edge Recharge,Hyde,Dragonfruit Lemonade,6776004378710,$14.99,TRUE,TRUE,TRUE,,TRUE,TRUE,fruit,lemon,,,,5%,3300,10,https://getpop.co/products/hyde-edge-recharge-dragonfruit-lemonade,"Up to 3,300 puffs (10ml) Adjustable Airflow (via switch) Rechargeable via Micro USB cable (not included) Click or tap here for Micro USB cable to recharge your Hyde Edge Recharge. Hyde Edge Recharge Dragonfruit Lemonade flavor description coming soon! With a rechargeable battery, the Hyde Edge Recharge provides almost twice the life of the Hyde Edge and even comes with adjustable airflow. What's included: 1 Hyde Edge Recharge rechargeable disposable device Micro USB Cable is not included 5% salt nicotine Volume: 10.0ml (up to 3,300 puffs) Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) E-Liquid origin: unknown Device origin: China About Hyde Edge Recharge The Hyde Edge Recharge is a giant leap in disposables because now we can enjoy an incredible 10ml of e-liquid for up to 3,300 puffs and features adjustable airflow. Our ability to recharge the battery gives us a significantly longer life. This innovative design means the battery can be much smaller and the reservoir of e-liquid much larger. The result is a device that's the same size as the original Hyde Edge that lasts almost twice as long. Tap here to check out the Hyde website at http://hydedisposables.com/ .",http://getpop.co/cdn/shop/products/hyde-edge-recharge-dragonfruit-lemonade-device_1024x1024.jpg?v=1659537086,http://getpop.co/cdn/shop/products/hyde-edge-recharge-dragonfruit-lemonade-device_2048x2048.jpg?v=1659537086
