title,brand,product,skunumber,price,description,eliquid_contents,nicotine_level,puffs_per_device,puffs_per_device_normal,battery,flavor_options,coil,led,dual_tank,smart_led,turbo,disposable_vape_battery,charging_dock,full_led_screen,power_mode_setting,airflow,operation,url
MTRX 12000 DISPOSABLE,MTRX,MTRX 12000 DISPOSABLE,,$9.99,"Check out the MTRX 12K Disposable, featuring a single or dual coil design, regular or boost mode, and delivers exceptional flavor with eLiquid and battery indicators. Equipped with 15mL of eJuice, the MTRX Disposable utilizes 5% nicotine strength eJuice to deliver 12000 puffs via single coil regular mode. Activating boost mode deploys the second coil in tandem, creating intensely flavored clouds of vapor at the cost of eJuice, battery life, and puff count. Relaying information via HD Display Screen, the MTRX 12000 Disposable utilizes draw-activated firing and can be recharged via Type-C port.
MTRX 12000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 15mL
• BATTERY CAPACITY: 650mAh
• MAX PUFFS: 12000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Single or Dual Mesh Coils
• AIRFLOW: Adjustable
• DISPLAY SCREEN: HD Screen
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
• Regular Mode - 12000 Puffs
• Boost Mode - 6000 Puffs
INCLUDES:
• 1 MTRX 12000 Disposable
AVAILABLE OPTIONS:
• Blue Razz Ice
• Blueberry Watermelon
• Cherry Strazz
• Grape Lemon
• Lime MTN Dew
• Mango Peach
• Minty O's
• Pink Lemonade
• Raspberry Coconut
• Strawberry Ice
• Strawberry Shortcakes
• Water Dragon Pear
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",15mL,5% (50mg),12000,12000,650mAh,"Blue Razz Ice, Blueberry Watermelon, Cherry Strazz, Grape Lemon, Lime MTN Dew, Mango Peach, Minty O's, Pink Lemonade, Raspberry Coconut, Strawberry Ice, Strawberry Shortcakes, Water Dragon Pear",Single or Dual Mesh Coils,yes,,no,,650mAh,USB Type-C,yes,,Adjustable,Draw-Activated,https://www.elementvape.com/mtrx-12k-disposable
CRAZYACE B15000 DISPOSABLE,CRAZYACE,CRAZYACE B15000 DISPOSABLE,,$6.99,"Check out the CRAZYACE B15000 Disposable, featuring a 900mAh battery, dual 10mL tanks, 1.0ohm dual mesh coils, smart display, 2 power modes, and offers up to 15K puffs.
CRAZYACE B15000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: Dual Tanks - 10mL + 10mL
• BATTERY CAPACITY: 900mAh
• MAX PUFFS: [15K] - 15000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: 1.0ohm Dual-Mesh Coils
• DISPLAY SCREEN: Smart LED
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
• Eco Mode - More Puffs
• Rage Mode - More Vapor
INCLUDES:
• 1 CRAZYACE B15000 Disposable
AVAILABLE OPTIONS:
• Apple Gummy
• Banana Ice
• Blue Cotton Candy
• Blueberry Raspberry Ice
• Cherry Lemonade
• Fresh Mint
• Fuji Apple
• Hawaii Mint
• Lemon Pie
• Lush Ice
• Mixed Berry
• Peach Mango
• Pineapple Slush
• Rainbow Burst
• Raspberry Watermelon
• Sakura Grape
• Strawberry Ice
• Strawberry Kiwi
• Strawberry Lemonade
• Strawberry Watermelon
• Watermelon Bubble Gum
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",Dual Tanks - 10mL + 10mL,5% (50mg),[15K] - 15000,[15K] - 15000,900mAh,"Apple Gummy, Banana Ice, Blue Cotton Candy, Blueberry Raspberry Ice, Cherry Lemonade, Fresh Mint, Fuji Apple, Hawaii Mint, Lemon Pie, Lush Ice, Mixed Berry, Peach Mango, Pineapple Slush, Rainbow Burst, Raspberry Watermelon, Sakura Grape, Strawberry Ice, Strawberry Kiwi, Strawberry Lemonade, Strawberry Watermelon, Watermelon Bubble Gum",1.0ohm Dual-Mesh Coils,yes,,no,,900mAh,USB Type-C,yes,,,Draw-Activated,https://www.elementvape.com/crazyace-b15000-disposable
INSTABAR WT15000 DISPOSABLE,INSTABAR,INSTABAR WT15000 DISPOSABLE,,$8.99,"Shop the Instabar WT15000 Disposable, featuring dual mesh coils, 1.77"" Screen Display, and a Regular and Pulse Mode for conserving power and eJuice or increasing flavor and vapor, respectively. With a draw-activated firing system, this device offers two modes - Pulse and Regular, providing options for different preferences. The Regular mode ensures 15000 puffs from the 15mL prefilled capacity, while the Pulse Mode delivers denser vapor, albeit with a reduced puff count of 7500. Additionally, the WT15000 Disposable boasts an adjustable bottom airflow dial, allowing users to transition between a restrictive mouth-to-lung and a restricted direct lung vaping style. 
INSTABAR WT15000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 15mL
• BATTERY CAPACITY: Integrated Rechargeable
• MAX PUFFS: 15000 Puffs
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Dual-Mesh Coils
• AIRFLOW: Adjustable
• DISPLAY SCREEN: 1.77"" Full Screen Display
• CHARGING: USB Type-C
• Pulse Mode - 7500 Puffs
• Regular Mode - 15000 Puffs
• Battery Life Indicator
• E-Liquid Level Indicator
INCLUDES:
• 1 Instabar WT15000 Disposable
AVAILABLE OPTIONS:
• Blue Cotton Candy
• Blue Razz Ice
• Cherry Peach Lemonade
• Chill Menthol
• Lemon Lime Ice
• Pineapple Coconut Ice
• Sakura Grape
• Strawberry Ice Cream
• Tequila Sunrise
• Watermelon Smash
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",15mL,5% (50mg),15000 Puffs,15000 Puffs,Integrated Rechargeable,"Blue Cotton Candy, Blue Razz Ice, Cherry Peach Lemonade, Chill Menthol, Lemon Lime Ice, Pineapple Coconut Ice, Sakura Grape, Strawberry Ice Cream, Tequila Sunrise, Watermelon Smash",Dual-Mesh Coils,yes,,no,,Integrated Rechargeable,USB Type-C,yes,,Adjustable,Draw-Activated,https://www.elementvape.com/instabar-wt15000-disposable
OFF-STAMP SW9000 DISPOSABLE KIT,OFF-STAMP,OFF-STAMP SW9000 DISPOSABLE KIT,,$10.99,"Check out the Off-Stamp SW9000 Disposable Kit, featuring a 2-piece disposable vape consisting of a 200mAh battery powered flavor pod and an attachable 800mAh charging module.
OFF-STAMP SW9000 DISPOSABLE KIT FEATURES:
• PREFILLED CAPACITY: 13mL
• BATTERY CAPACITY: 1000mAh (Combined) | 200mAh (Pod) | 800mAh (Charging Station)
• MAX PUFFS: 9000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• DISPLAY SCREEN: LED
• CHARGING: USB Type-C
• Battery Life Indicator
INCLUDES:
• 1 Off-Stamp SW9000 Battery
• 1 Off-Stamp SW9000 Pod
AVAILABLE OPTIONS:
• Blue Razz Ice
• California Cherry
• Cherry Strazz
• Dragon Strawnana
• Juicy Peach
• Miami Mint
• Sour Lush Gummy
• Watermelon Ice
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",13mL,5% (50mg),9000,9000,1000mAh (Combined) | 200mAh (Pod) | 800mAh (Charging Station),"Blue Razz Ice, California Cherry, Cherry Strazz, Dragon Strawnana, Juicy Peach, Miami Mint, Sour Lush Gummy, Watermelon Ice",,yes,,no,,1000mAh (Combined) | 200mAh (Pod) | 800mAh (Charging Station),USB Type-C,yes,,,Draw-Activated,https://www.elementvape.com/off-stamp-sw9000
NORTH FT12000 DISPOSABLE,FIND BRAND,NORTH FT12000 DISPOSABLE,,$12.99,"Check out the North FT12000 Disposable, featuring three power modes, dual plaid mesh coils, and an adjustable crown airflow dial for delicious flavor. Prefilled with 15mL of nicotine salts, the FT1200 provides 5% nicotine-strength eJuice at the slightest inhale. Outputting up to 12000 puffs, the North FT12000 Disposable can utilize a pair of dual plaid mesh coils to extract the various layers of complex eJuice to tantalize the tongue. A 650mAh battery within keeps the North Disposable ready at a moment's notice, while a Type-C port facilitates recharges to keep you vaping, reducing downtime. Furthermore, the FT12000 vape can access a discrete, full flavor, and auto boost modes that allow the user to find the best vaping profile that matches their habits.
NORTH FT12000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 15mL
• BATTERY CAPACITY: 650mAh
• MAX PUFFS: 12000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Dual Plaid Mesh Coils
• AIRFLOW: Crown Airflow Adjustment Dial
• DISPLAY SCREEN: Immersive Screen
• CHARGING: USB Type-C
• 3 Power Modes
• Battery Life Indicator
• E-Liquid Level Indicator
INCLUDES:
• 1 North FT12000 Disposable
AVAILABLE OPTIONS:
• Apple Gummies
• Bahama Bliss
• Blue Crystal
• Blue Razz
• Blue Slurpie
• Cactus Jack
• Cherry Lemon
• Cool Mint
• Frozen Raspberry
• Green Explosion
• Kiwi Dragon Fruit
• Lemon Cola
• Raspberry Watermelon
• Strawberry Banana
• Strawberry Vanilla Wafer
• Strawberry Watermelon
• Strawberry Watermelon Kiwi
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",15mL,5% (50mg),12000,12000,650mAh,"Apple Gummies, Bahama Bliss, Blue Crystal, Blue Razz, Blue Slurpie, Cactus Jack, Cherry Lemon, Cool Mint, Frozen Raspberry, Green Explosion, Kiwi Dragon Fruit, Lemon Cola, Raspberry Watermelon, Strawberry Banana, Strawberry Vanilla Wafer, Strawberry Watermelon, Strawberry Watermelon Kiwi",Dual Plaid Mesh Coils,yes,,no,,650mAh,USB Type-C,yes,,Crown Airflow Adjustment Dial,Draw-Activated,https://www.elementvape.com/north-ft12000-disposable
CHILLAX 15000 DISPOSABLE,CHILLAX,CHILLAX 15000 DISPOSABLE,,$9.99,"Powered by Lykcan, the Chillax 15K Disposable features a 600mAh Type-C rechargeable battery, 18mL prefilled capacity, a smart LED display, and offers up to 15K puffs.
CHILLAX 15000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 18mL
• BATTERY CAPACITY: 600mAh
• MAX PUFFS: 15000 (15K)
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• DISPLAY SCREEN: LED
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
INCLUDES:
• 1 Chillax 15000 Disposable
AVAILABLE OPTIONS:
• Blue Razz Ice
• California Mint
• Cherry Hurricane
• Choc-O-Chill
• Clear
• Dragon Fruit Berry
• Grape Ice
• Java Coffee
• Lychee Ice
• Sea Salt Lemon
• Sour Apple
• Strawberry Ice
• Strawmelon
• Vanilla Ice Cream
• Watermelon Ice
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",18mL,5% (50mg),15000 (15K),15000 (15K),600mAh,"Blue Razz Ice, California Mint, Cherry Hurricane, Choc-O-Chill, Clear, Dragon Fruit Berry, Grape Ice, Java Coffee, Lychee Ice, Sea Salt Lemon, Sour Apple, Strawberry Ice, Strawmelon, Vanilla Ice Cream, Watermelon Ice",,yes,,no,,600mAh,USB Type-C,yes,,,Draw-Activated,https://www.elementvape.com/chillax-15000-disposable
HORIZONTECH MICCO N16000 DISPOSABLE,FIND BRAND,HORIZONTECH MICCO N16000 DISPOSABLE,,$8.99,"Check out the Horizontech Micco N16000 Disposable, offering 20mL of prefilled eJuice, 5% nicotine strength, and delivers a lofty 16000 puffs of flavor. Adopting a digital display with eliquid and battery life indicators, the Micco Disposable relays critical information back to the user, reminding them on the remaining battery and eliquid levels. In addition, the bottom airflow of the Micco N16000 disposable allows the user to control how much airflow is reaching the mesh coil within, generating excellent flavor and vapor. Prefilled with 20mL of eLiquid, the Horizon Micco Disposable is perfect for those who are constantly on the go or traveling, delivering a superior vaping experience that will tantalize the taste buds.
HORIZONTECH MICCO N16000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 20mL
• BATTERY CAPACITY: 650mAh
• MAX PUFFS: 16000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Mesh Coil
• AIRFLOW: Bottom-Airflow
• DISPLAY SCREEN: Digital Display
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
INCLUDES:
• 1 Micco Disposable
AVAILABLE OPTIONS:
• Blue Razz
• Blue Slurpee
• Cherry Peach
• Cool Mint
• Cotton Candy
• Frozen Raspberry Lemonade
• Gum Mint
• Lemon Lime
• Peach Ice
• Sour Apple Ice
• Strawberry Banana
• Strawberry Kiwi
• Triple Berries
• Watermelon Bubblegum
• Watermelon Ice
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",20mL,5% (50mg),16000,16000,650mAh,"Blue Razz, Blue Slurpee, Cherry Peach, Cool Mint, Cotton Candy, Frozen Raspberry Lemonade, Gum Mint, Lemon Lime, Peach Ice, Sour Apple Ice, Strawberry Banana, Strawberry Kiwi, Triple Berries, Watermelon Bubblegum, Watermelon Ice",Mesh Coil,yes,,no,,650mAh,USB Type-C,yes,,Bottom-Airflow,Draw-Activated,https://www.elementvape.com/horizon-micco-disposable
RABBEATS RC10000 TOUCH DISPOSABLE,RABBEATS,RABBEATS RC10000 TOUCH DISPOSABLE,,$8.99,"Shop the RabBeats RC10000 Touch Disposable, featuring 14mL of eJuice, 5% nicotine strength, and delivers a whopping 10000 puffs in a touch screen vape.
RABBEATS RC10000 TOUCH DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 14mL
• BATTERY CAPACITY: 620mAh
• MAX PUFFS: 10000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Mesh Coil
• AIRFLOW: Fixed
• DISPLAY SCREEN: Touch Screen Control
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
INCLUDES:
• 1 RabBeats RC10000 Touch Disposable
AVAILABLE OPTIONS:
• Blue Razz Ice
• Blueberry Watermelon
• Cherry Lemon
• Citrus Grape
• Coconut Banana
• Dragon Strawnana
• Georgia Peach
• LA Mint
• Mount Splash
• OMG
• Ruby Raspberry
• Watermelon BG
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",14mL,5% (50mg),10000,10000,620mAh,"Blue Razz Ice, Blueberry Watermelon, Cherry Lemon, Citrus Grape, Coconut Banana, Dragon Strawnana, Georgia Peach, LA Mint, Mount Splash, OMG, Ruby Raspberry, Watermelon BG",Mesh Coil,yes,,yes,,620mAh,USB Type-C,yes,,Fixed,Draw-Activated,https://www.elementvape.com/rabbeats-rc10000-touch-disposable
PRIMA UL9000 DISPOSABLE,PRIMA,PRIMA UL9000 DISPOSABLE,,$5.99,"Check out the Prima UL9000 Disposable, offering a 18mL pre-filled capacity, 5% nicotine strength, and delivers 9000 puffs with a digital display screen.
PRIMA UL9000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 18mL
• BATTERY CAPACITY: 550mAh
• MAX PUFFS: 9000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Mesh Coil
• AIRFLOW: Fixed
• DISPLAY SCREEN: Digital
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
INCLUDES:
• 1 Prima UL9000 Disposable
AVAILABLE OPTIONS:
• Blue Razz Ice
• Kiwi Dragon Berry
• Lemon Lime
• Mango Peach Watermelon
• Miami Mint
• Pineapple Coconut Ice
• Rainbow Snow Cone
• Strawberry Cherry
• Strawberry Raspberry Cotton Candy
• Watermelon Lime
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",18mL,5% (50mg),9000,9000,550mAh,"Blue Razz Ice, Kiwi Dragon Berry, Lemon Lime, Mango Peach Watermelon, Miami Mint, Pineapple Coconut Ice, Rainbow Snow Cone, Strawberry Cherry, Strawberry Raspberry Cotton Candy, Watermelon Lime",Mesh Coil,yes,,no,,550mAh,USB Type-C,yes,,Fixed,Draw-Activated,https://www.elementvape.com/prima-ul9000-disposable
ARCHER 12000 DISPOSABLE,FIND BRAND,ARCHER 12000 DISPOSABLE,,$8.99,"Discover the Archer 12000 Disposable, offering an 18mL prefilled capacity, 5% nicotine concentration, and delivers up to 12000 puffs of decadent flavor. Equipped with a nifty Jump mode, the Archer 12000 Disposable can deliver stronger flavor with the activation of Jump mode. Powered by the iDuo Mesh Coils, the twin-coil design doubles the vapor output, making for densely flavor-laden clouds of vapor that will delight the taste buds. Outfitted with an adjustable airflow, the Archer 12000 Disposable can be changed to satisfy the taste buds with magnificent flavor.
ARCHER 12000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 18mL
• BATTERY CAPACITY: 900mAh
• MAX PUFFS: 12000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: iDuo Mesh Coils
• AIRFLOW: Adjustable
• DISPLAY SCREEN: Digital
• CHARGING: USB Type-C
• 12W / 24W (Jump Mode)
• Battery Life Indicator
• E-Liquid Level Indicator
• Child-Proof Lock
INCLUDES:
•   1 Archer 12000 Disposable
AVAILABLE OPTIONS:
• Blue Razz
• Cherry Cola
• Grape Energy
• Gummy Bear
• Kiwi Passion Fruit Guava
• Lemon Lime
• Peach Mango Watermelon
• Spearmint
• Strawberry Kiwi
• Watermelon Ice
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",18mL,5% (50mg),12000,12000,900mAh,"Blue Razz, Cherry Cola, Grape Energy, Gummy Bear, Kiwi Passion Fruit Guava, Lemon Lime, Peach Mango Watermelon, Spearmint, Strawberry Kiwi, Watermelon Ice",iDuo Mesh Coils,yes,,no,,900mAh,USB Type-C,yes,,Adjustable,Draw-Activated,https://www.elementvape.com/archer-12000-disposable
ECHO 8000 DISPOSABLE,ECHO,ECHO 8000 DISPOSABLE,,$12.99,"Shop the Echo 8000 Disposable, offering a 19mL prefilled capacity with 5% nicotine strength, delivering a lofty 8000 puffs of delicious nicotine salt flavors.
ECHO 8000 DISPOSABLE FEATURES:
• CAPACITY: 19mL
• BATTERY CAPACITY: Integrated Battery
• MAX PUFFS: 8000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Mesh Coil
• AIRFLOW: Fixed
• DISPLAY SCREEN: Digital
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
INCLUDES:
• 1 ECHO 8000 Disposable
AVAILABLE OPTIONS:
• Berry Baja Blast
• Dragon Berry Sour
• Electric Blue Razz
• Honeycrisp Grape Ice
• Mango Tango Nectarine
• Melon Berry Freeze
• Mystery Gummy
• Pina Colada Punch
• Pink Cotton Clouds
• Sweet Mint
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",,5% (50mg),8000,8000,Integrated Battery,"Berry Baja Blast, Dragon Berry Sour, Electric Blue Razz, Honeycrisp Grape Ice, Mango Tango Nectarine, Melon Berry Freeze, Mystery Gummy, Pina Colada Punch, Pink Cotton Clouds, Sweet Mint",Mesh Coil,yes,,no,,Integrated Battery,USB Type-C,yes,,Fixed,Draw-Activated,https://www.elementvape.com/echo-8000-disposable
POSH XTRON 10000 DISPOSABLE,FIND BRAND,POSH XTRON 10000 DISPOSABLE,,$9.99,"Discover the Posh XTRON 10000 Disposable, offering a 15mL capacity, 5% nicotine strength, and can deliver 10000 puffs of deliciously decadent flavor.
POSH XTRON 10000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 15mL
• BATTERY CAPACITY: 650mAh
• MAX PUFFS: 10000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: 1.0ohm Mesh Coil
• AIRFLOW: Fixed
• DISPLAY SCREEN: Digital
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
INCLUDES:
• 1 POSH XTRON 10000 Disposable
AVAILABLE OPTIONS:
• Apple
• Banana Raspberry
• Blue Slurpee
• Grape
• Honeydew Melon Pineapple
• Lemon Cola
• Mint
• Mix Berries
• Strawberry Mint
• Watermelon Mint
Please have a great understanding and technical knowledge on how to use this product in order to properly use it.
We highly recommend using an external battery charger for 18650 battery mods, as it helps with balanced charging and prolongs the life of the battery and mod, such as from worn out microUSB port.
Note: There is always an inherent risk when using any rechargeable batteries at any time and under any circumstances. ElementVape.com and any of ElementVape.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.
ElementVape.com and any or all of ElementVape.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery/batteries as well as chargers. Please have a greater understanding of the batteries/chargers you are using and how to care for them properly.
When working with Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable cells, please be cautious and carefully use as they are very sensitive to charging characteristics and may explode or burn if mishandled. Please make sure that you have great knowledge on all rechargeable batteries before you use them. Always charge batteries at the clean and fire-proof surface. Never leave charging batteries unattended. If you see that there are visible damages on the batteries, please do not use. Always keep, store and transport the rechargeable cells in a safe, non-conductive container in a controlled environment
Do not use any rechargeable battery as well as any battery charger if any visible damage is present, as well as if the cell or charger has been stressed through mishandling, accidental or otherwise, even if damage may not be visible. Always store and transport rechargeable cells in a safe, non-conductive container in a controlled environment. Please dispose of battery cells, chargers or any other electronic devices in accordance with local laws and mandates.
Element Vape provides Product Information that includes, but is not limited to, technical specifications, recommendations, and other materials for Customer’s convenience in Customer’s selection of Products. The accuracy or completeness of Product Information is not guaranteed and is subject to change without notice.",15mL,5% (50mg),10000,10000,650mAh,"Apple, Banana Raspberry, Blue Slurpee, Grape, Honeydew Melon Pineapple, Lemon Cola, Mint, Mix Berries, Strawberry Mint, Watermelon Mint",1.0ohm Mesh Coil,yes,,no,,650mAh,USB Type-C,yes,,Fixed,Draw-Activated,https://www.elementvape.com/posh-xtron
BARZ 7000 DISPOSABLE,BARZ,BARZ 7000 DISPOSABLE,,$10.99,"Check out the BARZ 7000 Disposable, offering a 14mL prefilled capacity, 5% nicotine strength, and offers 7000 amazing puffs from 10 different flavors.
BARZ 7000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 14mL
• BATTERY CAPACITY: 500mAh
• MAX PUFFS: 7000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Mesh Coil
• AIRFLOW: Fixed
• CHARGING: USB Type-C
INCLUDES:
• 1 BARZ 7000 Disposable
AVAILABLE OPTIONS:
• Grape Stompers
• Hawaiian Pressed Juice
• Peachy Ice
• Pearapple Pine
• Rainbow Gumdrops
• Spearmint Snow
• Strawmelon Crush
• Sweet Strawberry Ice
• Watermelon Glacier
• White Yummy Bear
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",14mL,5% (50mg),7000,7000,500mAh,"Grape Stompers, Hawaiian Pressed Juice, Peachy Ice, Pearapple Pine, Rainbow Gumdrops, Spearmint Snow, Strawmelon Crush, Sweet Strawberry Ice, Watermelon Glacier, White Yummy Bear",Mesh Coil,no,,no,,500mAh,USB Type-C,no,,Fixed,Draw-Activated,https://www.elementvape.com/barz-7000-disposable
MODUS X KADOBAR KB10000 DISPOSABLE,MODUS,MODUS X KADOBAR KB10000 DISPOSABLE,,$12.99,"Check out the Modus x KadoBar KB10000 Disposable, offering an 18mL prefilled capacity, 5% nicotine strength, and delivers a whopping 10000 puffs.
MODUS X KADOBAR KB10000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 18mL
• BATTERY CAPACITY: 650mAh
• MAX PUFFS: 10000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Mesh Coil
• AIRFLOW: Fixed
• CHARGING: USB Type-C
• Made in Collaboration with Modus
INCLUDES:
• 1 KB10000 Disposable
• 1 Type-C Cable
AVAILABLE OPTIONS:
• Blue Gummy Sharks
• Blue Slushie
• Bomb Pop
• Cannoli
• Cherry Cola
• Chilled Aloe Mango
• Chilled Honeydew Melon
• Chilled Kiwi Berry
• Chilled White Gummy
• Cool Mint
• Energy Drink
• Green Apple Jolly
• Hawaiian POG
• Peach Aloe
• Pineapple Coconut Ice
• Sakura Grape
• Sour Belts
• Strawberry Apple Peach
• Strawberry Colada
• Watermelon Bubble Gum
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",18mL,5% (50mg),10000,10000,650mAh,"Blue Gummy Sharks, Blue Slushie, Bomb Pop, Cannoli, Cherry Cola, Chilled Aloe Mango, Chilled Honeydew Melon, Chilled Kiwi Berry, Chilled White Gummy, Cool Mint, Energy Drink, Green Apple Jolly, Hawaiian POG, Peach Aloe, Pineapple Coconut Ice, Sakura Grape, Sour Belts, Strawberry Apple Peach, Strawberry Colada, Watermelon Bubble Gum",Mesh Coil,no,,no,,650mAh,USB Type-C,no,,Fixed,Draw-Activated,https://www.elementvape.com/modus-x-kadobar-kb10000
UPENDS MIRROR PRO 12000 DISPOSABLE,UPENDS,UPENDS MIRROR PRO 12000 DISPOSABLE,,$8.99,"Discover the UPENDS Mirror Pro 12000 Disposable, offering a 20mL prefilled capacity, 5% nicotine strength, and delivers 12000 puffs of amazing flavor.
UPENDS MIRROR PRO 12000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 20mL
• BATTERY CAPACITY: 650mAh
• MAX PUFFS: 12000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Dual-Mesh Coils
• AIRFLOW: Adjustable
• DISPLAY SCREEN: Digital
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
INCLUDES:
• 1 UPENDS Mirror Pro Disposable
AVAILABLE OPTIONS:
• Black Ice
• Blue Kiwi Lemon
• Blue Razz Ice
• California Cherry
• Double Apple
• Fresh Mint
• Latina Mango
• Lush Ice
• Peach Mango Watermelon
• Sakura Grape
• Strawberry Banana
• Strawberry Kiwi
• Summer Peach Ice
• Watermelon Lemonade
• Yummy Gummy
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",20mL,5% (50mg),12000,12000,650mAh,"Black Ice, Blue Kiwi Lemon, Blue Razz Ice, California Cherry, Double Apple, Fresh Mint, Latina Mango, Lush Ice, Peach Mango Watermelon, Sakura Grape, Strawberry Banana, Strawberry Kiwi, Summer Peach Ice, Watermelon Lemonade, Yummy Gummy",Dual-Mesh Coils,yes,,no,,650mAh,USB Type-C,yes,,Adjustable,Draw-Activated,https://www.elementvape.com/upends-mirror-pro
