Unnamed: 0,Brand,Product,SkuNumber,Price,Description,E-liquid contents,Puffs per Device,Flavor,Coil,Name Change,Master Case Qty,Vibration Notifications,Display,Display_Description,Nicotine_Levels,Power_Modes,Dual_Tank,Adjustable_Airflow,Battery_Type,Power_Mode,Internal_Features,External_Features,Country_of_Assembly,Nic_level_1,Nic_level_2,Nic_level_3,Iced_Variable,Nic_Free,TFN,Product_Type
11,VaporLax,VaporLax Sampler Pack,51321,$49.99 ,"\n\nThe VaporLax Mesh Sampler includes 5 of the top flavors: Mango Ice, Crush Grape, Blue Razz, Tropical Punch, and Pineapple Ice. This discounted offer gives vapers a wide variety of flavors to satisfy any palate. All VaporLax disposables contain 6.5mL of nic salt vape juice and have a 50mg nicotine strength. All VaporLax vapes in this sampler pack are the upgraded, 3000 puff, mesh version that provides optimal flavor in every puff.\n\n\nBrowse more disposable vape flavors\n*Flavors\/Options in Sampler Products are subject to change due to inventory restrictions\n \n"", ""category"": ""Disposables - Mesh 3000"", ""url"": ""https://mipod.com/products/vaporlax-sampler-pack"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/vpx-mesh-sept22_sampler-image-copy_1024x1024.png?v=1663177287"", ""image"": ""https://mipod.com/cdn/shop/products/vpx-mesh-sept22_sampler-image-copy_1024x1024.png?v=1663177287"", ""name"": ""VaporLax Mesh Vape Sampler Pack"", ""width"": 1024, ""height"": 1024 } }",6.5 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Disposable System
12,EBCREATE,Blackberry Cherry EBCREATE BC5000 Thermal Edition,54413,$12.99 ,,,5000,Blackberry and cherry notes are a perfect pairing. Every delicious puff from the Blackberry Cherry EBCreate BC5000 Thermal Edition is oozing with sweet and tart flavor.,,,,,False,,50 MG,,False,False,,,,Thermal color-changing exterior finish,,,,,False,0,0,Unknown
13,RabBeats,Strawberry Kiwi Ice RabBeats RC10000,54224,$14.99 ,,18ml,10000,"The Strawberry Kiwi Ice RabBeats RC10000 is a mesmerizing blend of sweet strawberries and tart kiwi, rounded off with a refreshing icy finish.",,,,,True,Battery and e-Juice Indicators,50 MG,,False,False,620mAh (Rechargeable via USB-C),,Anti-Dry-Burn Protection,,,,,,True,0,0,Unknown
14,EBCREATE,Sour Grape Chew EBCREATE BC5000 Thermal Edition,54416,$12.99 ,,,5000,"The flavor of soft, chewy grape confection is loaded with the purple Concord grape flavor that vapers love. It makes a perfect all-day vaping flavor in the Sour Grape Chew EBCreate BC5000 Thermal Edition.",,,,,False,,50 MG,,False,False,,,,Thermal color-changing exterior finish,,,,,False,0,0,Unknown
15,EBCREATE,Nectarine EBCREATE BC5000 Thermal Edition,54415,$12.99 ,,,5000,"With flavor elements almost akin to a pear or apple, but with that unmistakable nectarine kick, the bold flavor of the Nectarine EBCreate BC5000 Thermal Edition never tires the tastebuds.",,,,,False,,50 MG,,False,False,,,,Thermal color-changing exterior finish,,,,,False,0,0,Unknown
16,Flum,FLUM Pebble Vape Sampler Pack,53361,$44.99 ,,14ml,6000,The Flum Pebble vape sampler provides three top-selling Flum flavors at one low price. This discounted bundle includes,,,,,False,,50 MG,,False,False,600mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Disposable System
17,VaporLax,BOBO Sampler 3 Pack,51809,$39.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nTry three of the best BOBO vape flavors at one low price. The Melonz, Mambo Mango, and Crazy Berry are all included in this affordable sampler pack.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n*Flavors\/Options in Sampler Products are subject to change due to inventory restrictions\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/bobo-sampler-3-pack"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo-sampler-image_1024x1024.png?v=1643238773"", ""image"": ""https://mipod.com/cdn/shop/products/bobo-sampler-image_1024x1024.png?v=1643238773"", ""name"": ""BOBO Disposable Vape Sampler Pack"", ""width"": 1024, ""height"": 1024 } }",14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
18,Flonq,Milk Chocolate Flonq Max,54020,$9.99 ,,14ml,8000,"The Milk Chocolate Flonq Max is the perfected article. This is the chocolate vape that you did not know you needed. Velvety, rich, and sweet, the creamy and milky finish makes this a beverage and a dessert vape. It breaks free from the fruit-ice fusion formula and delivers an unbelievably delicious vaping experience that does not tire the tastebuds.",Made with Mesh Coil,,,,False,,35 MG,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
19,Flonq,Pink Lemonade Flonq Max,54021,$9.99 ,,14ml,8000,The refreshing Pink Lemonade Flonq Max has a very realistic lemon flavor paired with a sugary beverage base. A cool and icy finish rounds out this classic salt nic juice flavor.,Made with Mesh Coil,,,,False,,35 MG,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
20,Flonq,Grape Flonq Max,54022,$9.99 ,,14ml,8000,"The Grape Flonq Max oozes sweet grape flavor. Imagine the most delightful grape confection with the refreshing elements of purple Concord grape. It is a bright and sweet flavor, bold enough to never bore the tastebuds thanks to a kick of menthol ice.",Made with Mesh Coil,,,,False,,35 MG,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
21,Lost Mary,Triple Berry Ice Lost Mary MO5000,53667,$14.99 ,,10ml,5000,"The Triple Berry Ice Lost Mary MO5000 vape contains a sweet, ripened berry blend that has notes of raspberry, blackberry and blueberry flavors and a cool, icy finish.",Mesh Coil,,,,False,,50 MG,,False,False,"500mAh, rechargeable via USB-C",,,,,,,,True,0,0,Unknown
22,Flonq,Tobacco Flonq Max,54025,$13.99 ,,14ml,8000,"The Tobacco Flonq Max is an ideal alternative for anyone who prefers authentic tobacco flavors. The combination of the classy Flonq Max appearance, no garish pastel colors here, and a realistic tobacco flavor, this is a perfect choice for adult vapers who use gas station pod kits and have never enjoyed the superior performance of disposable vapes. It is a mild to medium tobacco inspired vape.",Made with Mesh Coil,,,,False,,35 MG,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Unknown
23,VaporLax,Strawberry Cream by Draco,51334,$16.99 ,"\n\n\n Filled with 16mL in Every Device\n Strawberry Cream: The Strawberry Cream Draco vape by VaporLax is a best-selling dessert vape flavor that combines a fresh strawberry with a touch of sweet cream. \n \n \n \nE-Liquid Contents: 16mL\n \nNicotine Level: 50mg\n \nPuff Count: +6500\n \nRechargeable with Micro USB *Charger not Included\n\n \n \nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - Draco"", ""url"": ""https://mipod.com/products/strawberry-cream-by-draco"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/Draco_Strawberry-Cream_b2c_1024x1024.png?v=1639170688"", ""image"": ""https://mipod.com/cdn/shop/products/Draco_Strawberry-Cream_b2c_1024x1024.png?v=1639170688"", ""name"": """,16.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
24,VaporLax,Mango Berry by Draco,51332,$16.99 ,"\n\n\n Filled with 16mL in Every Device\n Mango Berry: Smooth Alphonso mango and fresh strawberry are expertly blended together in the Mango Berry Draco disposable vape. \n \n \n \nE-Liquid Contents: 16mL\n \nNicotine Level: 50mg\n \nPuff Count: +6500\n \nRechargeable with Micro USB *Charger not Included\n\n \n \nBrowse more disposable vape flavors\n\n\n\n\n"", ""category"": ""Disposables - Draco"", ""url"": ""https://mipod.com/products/mango-berry-by-draco"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/Draco_Mango-Berry_b2c_1024x1024.png?v=1639170515"", ""image"": ""https://mipod.com/cdn/shop/products/Draco_Mango-Berry_b2c_1024x1024.png?v=1639170515"", ""name"": """,16.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
25,VaporLax,Strawberry Kiwi by Draco,51327,$16.99 ,"\n\n\n Filled with 16mL in Every Device\n Strawberry Kiwi: The Strawberry Kiwi Draco disposable vape is prefilled with a vape juice flavoring that uses a tropical kiwi infused with fresh summer strawberry. \n \n \n \nE-Liquid Contents: 16mL\n \nNicotine Level: 50mg\n \nPuff Count: +6500\n \nRechargeable with Micro USB *Charger not Included\n\n \n \nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - Draco"", ""url"": ""https://mipod.com/products/strawberry-kiwi-by-draco"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/Draco_Strawberry-Kiwi_b2c_1024x1024.png?v=1639170719"", ""image"": ""https://mipod.com/cdn/shop/products/Draco_Strawberry-Kiwi_b2c_1024x1024.png?v=1639170719"", ""name"": """,16.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
26,VaporLax,Luscious by Draco,51326,$16.99 ,"\n\n\n Filled with 16mL in Every Device\n Luscious: The Luscious Draco vape is prefilled with 16ml of juicy mountain watermelon flavor with a tobacco-free nicotine. \n \n \n \nE-Liquid Contents: 16mL\n \nNicotine Level: 50mg\n \nPuff Count: +6500\n \nRechargeable with Micro USB *Charger not Included\n\n \n \n Browse more disposable vape flavors\n\n\n\n\n"", ""category"": ""Disposables - Draco"", ""url"": ""https://mipod.com/products/luscious-by-draco"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/Draco_Luscious_b2c_1024x1024.png?v=1639170485"", ""image"": ""https://mipod.com/cdn/shop/products/Draco_Luscious_b2c_1024x1024.png?v=1639170485"", ""name"": """,16.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,Synthetic,Disposable System
27,VaporLax,Menthol BOBO Vape,51566,$13.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nA satisfying icy cool blast giving you a flavorful vaping experience.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/menthol-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_menthol_device_1024x1024.png?v=1643234309"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_menthol_device_1024x1024.png?v=1643234309"", ""name"": ""Menthol BOBO Disposable Vape"", ""width"": 1024, ""height"": 1024 } }",14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Disposable System
28,VaporLax,Mambo Mango BOBO Vape,51561,$13.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nA smooth mango base with other added fruit flavorings.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/mambo-mango-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_mambo-mango_device_1024x1024.png?v=1643234277"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_mambo-mango_device_1024x1024.png?v=1643234277"", ""name"": ""BOBO Mambo Mango Vape"", ""width"": 1024, ""height"": 1024 } }",14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
29,VaporLax,Sour Apple BOBO Vape,51567,$13.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nA fresh Granny Smith apple taste in every hit.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/sour-apple-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_sour-apple_device_1024x1024.png?v=1643234327"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_sour-apple_device_1024x1024.png?v=1643234327"", ""name"": """,14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
30,VaporLax,Sweet Nectar BOBO Vape,51564,$13.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nRipe peach with hints of apricot and a blend of nectarine flavors.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/sweet-nectar-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_sweet-nectar_device_1024x1024.png?v=1643234354"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_sweet-nectar_device_1024x1024.png?v=1643234354"", ""name"": ""BOBO Sweet Nectar Vape"", ""width"": 1024, ""height"": 1024 } }",14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
31,VaporLax,Strawberry Glaze BOBO Vape,51570,$13.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nA decadent creamy dessert blended with sweet luscious strawberries.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/strawberry-glaze-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_strawberry-glaze_device_1024x1024.png?v=1643234345"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_strawberry-glaze_device_1024x1024.png?v=1643234345"", ""name"": """,14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
32,VaporLax,Guava Passion BOBO Vape,51572,$13.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nTangy and delectable combination of guava and passionfruit. This guava disposable vape flavor adds a tangy passion fruit to make an exotic tropical fruit mix.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/guava-passion-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_guava-passion_device_1024x1024.png?v=1643234252"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_guava-passion_device_1024x1024.png?v=1643234252"", ""name"": ""Guava Disposable Vape"", ""width"": 1024, ""height"": 1024 } }",14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
33,VaporLax,Crazy Berry BOBO Vape,51559,$13.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nA fusion of blueberry, blackberry, and lemon flavors blended into one. The hint of citrus flavoring provides a refreshing exhale.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/crazy-berry-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_crazy-berry_device_1024x1024.png?v=1643234228"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_crazy-berry_device_1024x1024.png?v=1643234228"", ""name"": ""BOBO Crazy Berry Vape"", ""width"": 1024, ""height"": 1024 } }",14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
34,VaporLax,Kiwi Blast BOBO Vape,51558,$13.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nA blast of green apple, honeydew melon, and kiwi flavors.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/kiwi-blast-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_kiwi-blast_device_1024x1024.png?v=1643234265"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_kiwi-blast_device_1024x1024.png?v=1643234265"", ""name"": ""BOBO Kiwi Blast Disposable Vape"", ""width"": 1024, ""height"": 1024 } }",14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
35,VaporLax,Grape Frost BOBO Vape,51568,$13.99 ,"\nDISPOSABLE VAPE PENS FROM BOBO\nAn exhilarating rush of purple grape mixed with notes of mint.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/grape-frost-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_grape-frost_device_1024x1024.png?v=1643234240"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_grape-frost_device_1024x1024.png?v=1643234240"", ""name"": ""BOBO Grape Frost Vape"", ""width"": 1024, ""height"": 1024 } }",14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Disposable System
36,Flum,Triple Berries Ice UT Bar,53723,$15.99 ,,10ml,6000,"The Triple Berries Ice UT Bar vape uses a very berry blend that combines blueberry, blackberry and raspberry flavors and adds a dash of refreshing mint. Designed and manufactured by the makers of the Flum Pebble and Flum Float.",Made with Mesh Coil,,,,True,Power Indicator and E-Liquid Indicator,50 MG,,False,False,550mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
37,Flum,Strawberry Banana UT Bar,53725,$15.99 ,,10ml,6000,The Strawberry Banana UT Bar vape uses a familiar strawberry-banana smoothie blend. Designed and manufactured by the makers of the Flum Pebble and Flum Float.,Made with Mesh Coil,,,,True,Power Indicator and E-Liquid Indicator,50 MG,,False,False,550mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Unknown
38,Flum,Sakura Grape UT Bar,53722,$15.99 ,,10ml,6000,The Sakura Grape UT Bar rechargeable vape uses a mouth-watering purple grape taste in every puff. Designed and manufactured by the makers of the Flum Pebble and Flum Float.,Made with Mesh Coil,,,,True,Power Indicator and E-Liquid Indicator,50 MG,,False,False,550mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Unknown
39,Flum,Peach Mango Watermelon UT Bar,53726,$15.99 ,,10ml,6000,The Peach Mango Watermelon UT Bar vape is simply one of the most flavorful fruit vapes available today. It adds a ripe watermelon flavor to a smooth and tangy peach-mango blend. Designed and manufactured by the makers of the Flum Pebble and Flum Float.,Made with Mesh Coil,,,,True,Power Indicator and E-Liquid Indicator,50 MG,,False,False,550mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Unknown
40,Flum,Blue Razz Icy UT Bar,53724,$15.99 ,,10ml,6000,The Blue Razz Icy UT Bar rechargeable vape adds a touch of cool mint to a raspberry and blueberry blend that is packed with berry flavor. Designed and manufactured by the makers of the Flum Pebble and Flum Float.,Made with Mesh Coil,,,,True,Power Indicator and E-Liquid Indicator,50 MG,,False,False,550mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
41,Puff Bunny,Blue Mint Puff Bunny 8000,53867,$18.99 ,"\n\nPUFF BUNNY 8000 DISPOSABLE VAPE\n\n\nFlavor: Mild but herbaceous sweet mint notes add coolness and complexity to this blueberry flavor infused disposable vape. \n\n\nE-liquid contents: 19ml\n\n\nNicotine Level: 50mg\n\nPuffs per Device: +8000\n\nIndicator Lights: LED Screen for Battery and Salt Nic Juice Levels\n\nBattery: 650mAh (USB-C Cable Not Included)\n\n\n\nBrowse more disposable vape flavors"", ""category"": ""Disposables - Puff Bunny 8000"", ""url"": ""https://mipod.com/products/blue-mint-puff-bunny-8000"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/files/Puff-Bunny_Blue-Mint_Device_600x600_d064f859-7b42-45fd-9f16-3b0d0f600f58_1024x1024.png?v=1687279012"", ""image"": ""https://mipod.com/cdn/shop/files/Puff-Bunny_Blue-Mint_Device_600x600_d064f859-7b42-45fd-9f16-3b0d0f600f58_1024x1024.png?v=1687279012"", ""name"": ""Blue Mint Puff Bunny 8000 Disposable Vape"", ""width"": 1024, ""height"": 1024 } }",19.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Disposable System
42,Flum,Phoenix Sunset UT Bar,53895,$15.99 ,,10ml,6000,The Phoenix Sunset UT Bar vape has the taste of a sweet and tart watermelon bubblegum flavor in every puff. Designed and manufactured by the makers of the Flum Pebble and Flum Float.,Made with Mesh Coil,,,,True,Power Indicator and E-Liquid Indicator,50 MG,,False,False,550mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Unknown
